Bandit,Reward,Algorithm
3,4.956271518134074,ThompsonSampling
2,2.9505773971191918,ThompsonSampling
2,3.892621056902766,ThompsonSampling
3,4.067937709725943,ThompsonSampling
3,4.894636932512411,ThompsonSampling
3,4.228746483741589,ThompsonSampling
3,4.610703178458851,ThompsonSampling
3,3.337754856611904,ThompsonSampling
3,3.422293009515823,ThompsonSampling
3,3.8146736465598594,ThompsonSampling
3,2.368793331118126,ThompsonSampling
3,5.5456272576624155,ThompsonSampling
1,4.424949533514441,ThompsonSampling
3,2.9069133817917336,ThompsonSampling
3,4.311439507258765,ThompsonSampling
3,3.9597527927077016,ThompsonSampling
3,3.87211433106849,ThompsonSampling
3,1.9942661010944076,ThompsonSampling
2,2.4445164882154184,ThompsonSampling
3,4.254212450061599,ThompsonSampling
3,4.365820969946506,ThompsonSampling
3,2.8231109521467976,ThompsonSampling
3,5.421004406127056,ThompsonSampling
3,4.031527542127954,ThompsonSampling
3,5.026112691409421,ThompsonSampling
2,4.204054930341699,ThompsonSampling
3,4.029901444796157,ThompsonSampling
3,3.407851201021333,ThompsonSampling
3,4.5214774079784785,ThompsonSampling
3,4.503486783629683,ThompsonSampling
2,2.7278287393689693,ThompsonSampling
3,4.075583919451862,ThompsonSampling
1,1.691415825194101,ThompsonSampling
3,5.5262098060044105,ThompsonSampling
3,4.503852469347587,ThompsonSampling
1,1.6580895548555352,ThompsonSampling
3,1.6596523803221466,ThompsonSampling
3,3.1192297182060837,ThompsonSampling
2,2.151493904078949,ThompsonSampling
3,5.377130550842085,ThompsonSampling
3,1.3409433037775513,ThompsonSampling
3,5.769897165440236,ThompsonSampling
3,5.288529915847731,ThompsonSampling
3,2.6980535053901473,ThompsonSampling
3,2.93387632557247,ThompsonSampling
3,3.770715370314502,ThompsonSampling
3,3.0947203000326295,ThompsonSampling
2,2.4184802179766973,ThompsonSampling
3,3.360928590634298,ThompsonSampling
3,4.5307746981274795,ThompsonSampling
1,0.29010368255060737,ThompsonSampling
3,3.6395879670973637,ThompsonSampling
3,5.243562520617659,ThompsonSampling
2,4.9096250003815785,ThompsonSampling
3,4.637401179239224,ThompsonSampling
2,2.059206735529727,ThompsonSampling
3,3.752858399374615,ThompsonSampling
3,4.261789384061057,ThompsonSampling
3,4.070538733266109,ThompsonSampling
3,3.757443960873197,ThompsonSampling
3,5.767112010525217,ThompsonSampling
3,3.292516169304958,ThompsonSampling
2,3.678520117322111,ThompsonSampling
